Name,Partido,,TRASPASO DESDE GASTOS OPERACIONALES A ASIGNACIÓN PERSONAL DE APOYO,TELEFONÍA,TRASLACIÓN,DIFUSIÓN,ACTIVIDADES DESTINADAS A LA INTERACCIÓN CON LA COMUNIDAD,ARRIENDO DE INMUEBLE,CONSUMOS BÁSICOS,EQUIPAMIENTO OFICINA PARLAMENTARIA,MATERIALES DE OFICINA,CORRESPONDENCIA,GASTOS DE MANTENCIÓN OFICINA PARLAMENTARIA (INMUEBLE),REPARACIONES LOCATIVAS DEL INMUEBLE,HABILITACIÓN DE SEDES PARLAMENTARIAS (CON AUTORIZACIÓN DE CRAP),SEGUROS DE BIENES,ARRIENDO DE OFICINAS VIRTUALES,SERVICIOS WEB,CONTRATACIÓN SERVICIO DE ALMACENAMIENTO,ARRIENDO DE OFICINA MÓVIL,MANTENCION Y REPARACIÓN DE OFICINA MÓVIL,SERVICIOS MENORES,COVID-19 PERSONAL DE APOYO
Sr. Leonardo Soto,PS,,0,90276,2292686,0,0,957000,197894,0,0,0,0,77350,0,0,0,0,0,0,0,500000,11185
Sr. Renzo Trisotti,UDI,,0,149030,2381608,499800,0,800000,31070,59990,3044,30565,0,0,0,0,0,0,0,0,0,499000,9900
Sr. Jorge Alessandri,UDI,,20878,865812,2535127,0,358000,480000,226488,133332,0,0,79772,0,0,0,0,0,0,0,0,500000,0
Sr. Boris Barrera,PC,,307916,719397,710516,0,13995,718200,0,0,45368,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Alejandro Bernales,LIBERAL,,0,73232,2125234,163504,34600,972271,57763,56616,264541,0,0,0,0,0,0,51765,0,0,0,500000,0
Sr. Jorge Brito,RD,,1296859,122480,533789,566142,0,350000,2990,44443,0,0,0,0,0,0,0,79719,0,0,0,500000,9150
Sr. Miguel Ángel Calisto,DC,,2016988,203774,2067376,1258818,0,0,0,0,11000,0,0,0,0,0,0,80000,0,0,0,500000,0
Sr. Álvaro Carter,UDI,,12871,89800,1991588,400000,0,800000,56980,0,0,0,80000,0,0,0,0,0,0,0,0,500000,0
Sr. José Miguel Castro,RN,,57450,92048,2324870,603470,0,528710,62540,321890,120720,0,70000,0,0,0,0,0,0,0,0,500000,0
Sr. Andrés Celis,RN,,1248764,58334,1512532,450000,0,0,0,0,20500,0,0,0,0,0,0,1548094,0,0,0,500000,0
Sra. Sofía Cid,RN,,0,162033,2313978,1013990,0,0,0,0,9597,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Catalina Del Real,RN,,550896,191931,2257375,0,1975400,0,0,0,36429,9168,0,0,0,0,0,0,0,0,0,500000,0
Sr. Jorge Durán,RN,,2182006,279738,1366743,0,0,0,0,0,0,0,0,0,0,0,0,727474,0,0,0,500000,0
Sr. Eduardo Durán,RN,,2027585,193326,1338193,51408,0,861111,0,0,0,13856,0,0,0,0,0,0,0,0,0,445479,0
Sra. Camila Flores,RN,,1853301,80459,2046366,823500,0,0,0,379990,23980,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Juan Fuenzalida,UDI,,0,209029,2386747,1215000,0,0,0,0,0,0,0,0,0,0,0,62500,0,0,0,500000,0
Sr. Félix González,PEV,,236047,115982,1593389,0,0,1231200,65575,956780,67830,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Carmen Hertz,PC,,488144,115224,805118,0,0,666900,22857,0,67515,0,100000,0,0,0,0,0,0,0,0,500000,0
Sr. Tomás Hirsch,IND,,44237,202991,1615123,0,0,1237500,21084,0,0,0,150000,0,0,0,0,0,0,0,0,500000,0
Sr. Diego Ibáñez,PCS,,2329405,1247466,769718,750000,0,480000,8630,0,37962,6606,0,0,0,0,0,0,0,0,0,500000,0
Sr. Marcos Ilabaca,PS,,893169,172226,1581104,644544,0,1107669,395843,0,82990,0,80000,0,0,0,0,0,0,0,0,500000,0
Sra. Pamela Jiles,PH,,850613,128370,2126692,150000,0,600000,89816,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sr. Harry Jürgensen,IND,,793613,261535,2014033,0,0,1393248,0,0,44179,9252,232050,0,0,0,0,0,0,0,0,499000,0
Sr. Raúl Leiva,PS,,439447,101679,1369124,0,0,819557,32214,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Andrés Longton,RN,,2261706,185144,1658660,400000,0,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Carolina Marzán,PPD,,2453311,149215,1688680,1152000,0,0,0,0,77505,17007,0,0,0,0,0,0,0,0,0,500000,0
Sr. Cosme Mellado,PR,,1052031,85858,1521374,1315000,0,898937,48790,0,22497,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Miguel Mellado,RN,,0,116844,2266190,519000,0,563000,174755,0,8151,16953,0,0,0,0,0,0,0,0,0,500000,0
Sra. Claudia Mix Jiménez,COMUNES,,2122357,190218,1347392,0,0,575000,0,0,0,0,30000,0,0,0,0,0,0,0,0,499997,0
Sr. Cristhian Moreira,UDI,,0,77358,1868644,66636,0,1000000,0,0,82538,22797,0,0,0,0,0,0,0,0,0,500000,0
Sra. Francesca Muñoz,RN,,1922850,41291,701425,0,49586,1100000,117506,0,133000,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Emilia Nuyado,PS,,1030479,36656,2506916,0,0,835948,254188,0,120704,8066,0,0,0,0,0,0,0,0,0,500000,0
Sra. Erika Olivera,IND,,2131164,157289,1458094,0,800000,0,0,0,27015,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Maite Orsini,RD,,2170958,106638,869131,0,0,1442420,0,0,11078,7648,0,0,0,0,0,0,0,0,0,428402,0
Sra. Ximena Ossandón,RN,,1429525,157207,1729394,425680,0,700000,53040,0,9405,21877,0,0,0,0,0,0,0,0,0,500000,0
Sra. Joanna Pérez,DC,,1974992,384395,2239655,1183,0,863500,0,0,27778,78078,0,0,0,0,0,0,0,0,0,297149,0
Sra. Catalina Pérez,RD,,1588143,280823,1998533,576297,0,1148097,68844,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Guillermo Ramírez,UDI,,0,99621,2457119,0,0,1243000,168829,189998,5243,0,100000,0,0,0,0,178500,0,0,0,500000,0
Sr. Hugo Rey,RN,,2143681,96125,1278878,1882108,0,1210015,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Camila Rojas,COMUNES,,879010,84656,295537,357000,0,1234909,54345,57700,0,0,0,0,0,0,0,0,0,0,0,200000,0
Sr. Leonidas Romero,IND,,1418288,217176,1606447,0,0,650000,90800,139990,0,15010,0,0,0,0,0,0,0,0,0,500000,0
Sr. Patricio Rosas,IND,,0,1340265,2364081,1028000,0,393387,68819,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Juan Santana,PS,,2381979,183407,1759598,720000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
