Name,Partido,,TRASPASO DESDE GASTOS OPERACIONALES A ASIGNACIÓN PERSONAL DE APOYO,TELEFONÍA,TRASLACIÓN,DIFUSIÓN,ACTIVIDADES DESTINADAS A LA INTERACCIÓN CON LA COMUNIDAD,ARRIENDO DE INMUEBLE,CONSUMOS BÁSICOS,EQUIPAMIENTO OFICINA PARLAMENTARIA,MATERIALES DE OFICINA,CORRESPONDENCIA,GASTOS DE MANTENCIÓN OFICINA PARLAMENTARIA (INMUEBLE),REPARACIONES LOCATIVAS DEL INMUEBLE,HABILITACIÓN DE SEDES PARLAMENTARIAS (CON AUTORIZACIÓN DE CRAP),SEGUROS DE BIENES,ARRIENDO DE OFICINAS VIRTUALES,SERVICIOS WEB,CONTRATACIÓN SERVICIO DE ALMACENAMIENTO,ARRIENDO DE OFICINA MÓVIL,MANTENCION Y REPARACIÓN DE OFICINA MÓVIL,SERVICIOS MENORES,COVID-19 PERSONAL DE APOYO
Sr. Leonardo Soto,PS,,0,90660,2768172,12000,0,957000,162657,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Renzo Trisotti,UDI,,0,124883,2980610,499800,0,800000,68380,57150,1331,0,0,0,0,0,0,0,0,0,0,500000,16630
Sr. Jorge Alessandri,UDI,,18248,103350,3084146,0,0,480000,239993,133332,14714,0,79772,0,0,0,0,0,0,0,0,500000,0
Sr. Boris Barrera,PC,,307916,146224,1026027,0,5550,718200,12189,0,0,0,0,0,0,0,0,0,0,0,0,256187,0
Sr. Alejandro Bernales,LIBERAL,,0,73232,2132532,284420,54120,982627,66289,56616,47750,0,0,0,0,0,0,45792,0,0,0,500000,0
Sr. Jorge Brito,RD,,1296859,122714,1076096,866088,0,350000,4790,61433,0,0,0,0,0,0,0,83719,0,0,0,500000,0
Sr. Miguel Ángel Calisto,DC,,2016988,158414,1855226,949000,0,0,0,0,6125,0,0,0,0,0,0,87652,0,0,0,500000,0
Sr. Álvaro Carter,UDI,,12871,89800,2038768,400000,0,800000,107599,0,0,0,125000,0,0,0,0,0,0,0,0,500000,0
Sr. José Miguel Castro,RN,,0,306203,1834837,1026552,0,528710,68213,0,5500,9534,0,0,0,0,0,0,0,0,0,500000,0
Sr. Andrés Celis,RN,,1653254,58334,1210430,450000,0,0,0,0,77754,0,0,0,0,0,0,1297138,0,0,0,500000,0
Sra. Sofía Cid,RN,,514431,205006,2787535,1439000,0,0,0,0,9033,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Catalina Del Real,RN,,550896,192315,2615774,0,1100557,0,0,0,182051,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Jorge Durán,RN,,2145602,279738,1855439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Eduardo Durán,RN,,2027585,193326,1320805,6259,0,861111,0,0,41145,0,0,0,0,0,0,0,0,0,0,480727,0
Sra. Camila Flores,RN,,1853301,80458,2228078,971043,0,0,0,0,74716,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Juan Fuenzalida,UDI,,0,177383,2790419,1277500,0,0,0,0,19430,6391,0,0,0,0,0,0,0,0,0,500000,0
Sr. Félix González,PEV,,214134,115982,1832107,0,0,1231200,66545,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Carmen Hertz,PC,,614969,115223,873959,1428000,0,666900,40657,0,0,0,125000,0,0,0,0,0,0,0,0,500000,0
Sr. Tomás Hirsch,IND,,57450,117858,1873077,0,142670,1237500,38245,796030,0,0,120000,0,0,0,0,0,0,0,0,500000,0
Sr. Diego Ibáñez,PCS,,2329405,239370,1226587,654600,0,480000,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Marcos Ilabaca,PS,,118549,157641,1776739,904101,0,1110684,324349,0,0,0,40000,0,0,0,0,0,0,0,0,500000,0
Sra. Pamela Jiles,PH,,815260,128755,1684145,150000,0,600000,231397,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Harry Jürgensen,IND,,793613,211658,2083587,0,0,1409549,0,0,17453,0,232050,0,0,0,0,0,0,0,0,499000,0
Sr. Raúl Leiva,PS,,439447,101095,2208353,0,0,829147,57637,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Andrés Longton,RN,,2236941,185144,2039324,400000,0,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,496187,0
Sra. Carolina Marzán,PPD,,2462574,149515,1974771,200000,0,291666,0,0,129070,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Cosme Mellado,PR,,1052031,83834,1596194,1315000,0,908527,52190,0,27760,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Miguel Mellado,RN,,42954,116844,2508948,519000,0,563000,549656,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Claudia Mix Jiménez,COMUNES,,2122357,368716,1437256,31297,0,575000,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Cristhian Moreira,UDI,,0,102258,2028248,0,0,1000000,0,0,28831,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Francesca Muñoz,RN,,1871629,41291,1515879,0,0,1100000,116185,0,6541,6182,0,0,0,0,0,0,0,0,0,500000,0
Sra. Emilia Nuyado,PS,,1030479,36692,2538707,0,0,845729,247247,0,43890,4166,0,0,0,0,0,0,0,0,0,500000,0
Sra. Erika Olivera,IND,,2131164,157434,1379302,0,800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
