Name,Partido,,TRASPASO DESDE GASTOS OPERACIONALES A ASIGNACIÓN PERSONAL DE APOYO,TELEFONÍA,TRASLACIÓN,DIFUSIÓN,ACTIVIDADES DESTINADAS A LA INTERACCIÓN CON LA COMUNIDAD,ARRIENDO DE INMUEBLE,CONSUMOS BÁSICOS,EQUIPAMIENTO OFICINA PARLAMENTARIA,MATERIALES DE OFICINA,CORRESPONDENCIA,GASTOS DE MANTENCIÓN OFICINA PARLAMENTARIA (INMUEBLE),REPARACIONES LOCATIVAS DEL INMUEBLE,HABILITACIÓN DE SEDES PARLAMENTARIAS (CON AUTORIZACIÓN DE CRAP),SEGUROS DE BIENES,ARRIENDO DE OFICINAS VIRTUALES,SERVICIOS WEB,CONTRATACIÓN SERVICIO DE ALMACENAMIENTO,ARRIENDO DE OFICINA MÓVIL,MANTENCION Y REPARACIÓN DE OFICINA MÓVIL,SERVICIOS MENORES,COVID-19 PERSONAL DE APOYO
Sr. Leonardo Soto,PS,,0,90659,1759008,0,0,957000,193380,551960,0,0,40480,0,0,0,0,0,0,0,0,500000,23960
Sr. Renzo Trisotti,UDI,,0,124956,2867250,499800,0,800000,43780,0,30531,0,0,0,0,0,0,0,0,0,0,499000,0
Sr. Jorge Alessandri,UDI,,20878,92561,3229053,158508,0,480000,229306,133332,416964,0,79772,0,0,0,0,0,0,0,0,500000,0
Sr. Boris Barrera,PC,,1437343,351181,1476132,0,0,718200,0,0,4054,74485,0,0,0,0,0,0,0,0,0,256187,0
Sr. Alejandro Bernales,LIBERAL,,0,73232,2067300,1391392,167060,990459,41686,56616,29816,0,0,0,0,0,0,48144,0,0,0,500000,0
Sr. Jorge Brito,RD,,1892678,122713,923620,901776,0,350000,1700,44443,35700,0,0,0,0,0,0,24170,0,0,0,500000,0
Sr. Miguel Ángel Calisto,DC,,2016988,130455,2373023,652508,0,0,0,0,0,0,0,0,0,0,0,89981,0,0,0,500000,0
Sr. Álvaro Carter,UDI,,35169,89800,1984310,400000,0,800000,140137,0,0,200000,130000,0,0,0,0,0,0,0,0,500000,20525
Sr. José Miguel Castro,RN,,0,88702,1834743,1390099,0,528710,73990,0,121856,28152,0,0,0,0,0,36436,0,0,0,500000,0
Sr. Andrés Celis,RN,,2133727,58333,1272111,450000,0,0,0,0,0,0,0,0,0,0,0,832739,0,0,0,500000,0
