Name,Partido,,TRASPASO DESDE GASTOS OPERACIONALES A ASIGNACIÓN PERSONAL DE APOYO,TELEFONÍA,TRASLACIÓN,DIFUSIÓN,ACTIVIDADES DESTINADAS A LA INTERACCIÓN CON LA COMUNIDAD,ARRIENDO DE INMUEBLE,CONSUMOS BÁSICOS,EQUIPAMIENTO OFICINA PARLAMENTARIA,MATERIALES DE OFICINA,CORRESPONDENCIA,GASTOS DE MANTENCIÓN OFICINA PARLAMENTARIA (INMUEBLE),REPARACIONES LOCATIVAS DEL INMUEBLE,HABILITACIÓN DE SEDES PARLAMENTARIAS (CON AUTORIZACIÓN DE CRAP),SEGUROS DE BIENES,ARRIENDO DE OFICINAS VIRTUALES,SERVICIOS WEB,CONTRATACIÓN SERVICIO DE ALMACENAMIENTO,ARRIENDO DE OFICINA MÓVIL,MANTENCION Y REPARACIÓN DE OFICINA MÓVIL,SERVICIOS MENORES,COVID-19 PERSONAL DE APOYO
Sr. Leonardo Soto,PS,,1172521,90660,1871726,0,0,957000,132724,746179,127627,3841,0,0,0,0,0,0,0,0,0,500000,0
Sr. Renzo Trisotti,UDI,,0,396476,2642124,536205,0,800000,63597,0,147203,12494,0,0,0,0,0,0,0,0,0,499000,0
Sr. Jorge Alessandri,UDI,,20878,106672,3031530,0,0,480000,210967,443322,0,0,79772,0,0,0,0,0,0,0,0,500000,0
Sr. Boris Barrera,PC,,0,164579,1193545,0,0,700000,20757,0,0,6966,0,0,0,0,0,0,0,0,0,500000,0
Sr. Alejandro Bernales,LIBERAL,,0,73232,2299627,258500,29800,959191,61325,141076,0,12190,0,0,0,0,0,0,0,0,0,500000,0
Sr. Jorge Brito,RD,,1388947,366107,619521,1209753,0,350000,2940,44443,53048,0,0,0,0,0,0,99787,0,0,0,500000,0
Sr. Miguel Ángel Calisto,DC,,1376245,205162,1556552,1396263,0,0,0,0,0,174148,0,0,0,0,0,80000,0,0,0,500000,0
Sr. Álvaro Carter,UDI,,12871,169560,2268649,450000,0,800000,97018,0,189410,0,80000,0,0,0,0,0,0,0,0,500000,0
Sr. José Miguel Castro,RN,,57450,92047,2438261,628468,0,528710,63560,0,1295,9071,0,0,0,0,0,0,0,0,0,500000,0
Sr. Andrés Celis,RN,,1248764,77759,993450,450000,0,0,0,0,35623,0,0,0,0,0,0,1850000,0,0,0,500000,0
Sra. Sofía Cid,RN,,0,238822,2535076,1402065,0,0,0,879990,18719,94529,0,0,0,0,0,0,0,0,0,500000,0
Sra. Catalina Del Real,RN,,29602,192315,1847381,0,1785000,0,0,0,46297,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Jorge Durán,RN,,2182006,291993,1418654,600000,0,0,0,0,23936,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Eduardo Durán,RN,,1708585,166692,1686070,0,0,861111,0,0,14731,15164,0,0,0,0,0,0,0,0,0,478605,0
Sra. Camila Flores,RN,,2310300,159404,1756253,925612,0,0,0,0,30057,0,0,0,0,0,0,0,0,0,0,500000,25970
Sr. Juan Fuenzalida,UDI,,0,190492,2878796,1215000,599582,0,0,0,0,0,0,0,0,0,0,639678,0,0,0,500000,0
Sr. Félix González,PEV,,236047,119116,530194,0,0,1200000,65565,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Carmen Hertz,PC,,477340,875075,1009513,1142400,0,650000,22857,219980,91893,0,100000,0,0,0,0,0,0,0,0,500000,0
Sr. Tomás Hirsch,IND,,45875,165356,1628256,0,0,1237500,62952,0,30275,0,120000,0,0,0,0,0,0,0,0,500000,18970
Sr. Diego Ibáñez,PCS,,2330303,173760,813707,0,0,653871,38005,0,104140,0,0,0,0,0,0,87565,0,0,0,500000,0
Sr. Marcos Ilabaca,PS,,881657,729785,1548559,229900,0,1230633,380784,0,145933,62053,0,0,0,0,0,0,0,0,0,248241,0
Sra. Pamela Jiles,PH,,850613,204644,1510351,150000,0,600000,210730,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Harry Jürgensen,IND,,793613,272931,1897771,0,0,1374429,177816,0,88286,142064,0,0,0,0,0,0,0,0,0,500000,0
Sr. Raúl Leiva,PS,,439447,259956,2022722,0,0,807446,43513,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Andrés Longton,RN,,2402230,165793,1153107,0,569800,350000,0,0,0,0,0,0,0,0,566666,0,0,0,0,500000,0
Sra. Carolina Marzán,PPD,,2459738,859110,1279916,200000,0,0,0,0,70686,8024,0,0,0,0,0,0,0,0,0,500000,0
Sr. Cosme Mellado,PR,,1052031,85857,1624802,1315000,0,886826,61440,0,14570,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Miguel Mellado,RN,,0,1169779,2446794,621816,0,550000,157343,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Claudia Mix Jiménez,COMUNES,,2118824,346316,1743501,0,0,575000,0,0,0,0,90000,0,0,0,0,0,0,0,0,267952,0
Sr. Cristhian Moreira,UDI,,0,578251,2137135,0,0,1000000,0,0,0,31042,0,0,0,0,0,0,0,0,0,500000,0
Sra. Francesca Muñoz,RN,,1922850,41291,864831,0,16780,1100000,102481,182990,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Emilia Nuyado,PS,,1025507,36609,2409167,0,0,823595,205875,0,30370,4033,0,0,0,0,0,0,0,0,0,500000,0
Sra. Erika Olivera,IND,,2001705,157289,1368340,0,800000,0,0,0,10647,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Maite Orsini,RD,,2170958,381322,1882538,0,0,0,0,589990,5704,5763,0,0,0,0,0,0,0,0,0,0,0
Sra. Ximena Ossandón,RN,,2005209,157207,1827062,0,0,700000,0,0,2219,0,0,0,0,0,0,0,0,0,0,344578,0
Sra. Joanna Pérez,DC,,1662995,254545,1763729,0,0,863500,0,0,169766,44461,0,0,0,0,0,0,0,0,0,500000,0
Sra. Catalina Pérez,RD,,1588143,538150,656912,626000,0,1019966,56620,77000,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Guillermo Ramírez,UDI,,0,100006,2489048,0,0,1243000,143179,0,8992,0,145000,0,0,0,0,178500,0,0,0,500000,0
Sr. Hugo Rey,RN,,2138767,181997,984621,499000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Camila Rojas,COMUNES,,2541,56557,183764,0,0,1252873,0,399999,0,0,15000,0,0,0,0,0,0,0,0,350000,0
Sr. Leonidas Romero,IND,,1418288,1144577,1532357,0,0,650000,45280,0,10210,6367,0,0,0,0,0,0,0,0,0,439831,0
Sr. Patricio Rosas,IND,,0,127833,2646492,1028000,0,387574,74419,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Juan Santana,PS,,2381979,1405903,1732317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292714,0
Sra. Marisela Santibáñez,PC,,669256,158865,2072860,0,0,1000000,0,106242,252108,0,168750,0,0,0,0,0,0,0,0,500000,0
Sr. Diego Schalper,RN,,1836754,169068,2049843,0,0,843750,70645,0,26901,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Alexis Sepúlveda Soto,PR,,1340436,154387,1236871,2406019,0,0,0,0,79883,0,0,0,0,0,0,0,0,0,0,490000,0
Sr. Raúl Soto Mardones ,PPD,,247543,133530,1197874,0,0,700000,0,395780,190074,21946,0,0,0,0,0,0,0,0,0,500000,0
Sr. Francisco Undurraga,EVOP,,0,755201,2790990,0,0,510000,157484,0,117577,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Cristóbal Urruticoechea,PREP,,591643,189859,3378328,0,0,900000,0,0,0,4033,0,0,0,0,0,0,0,0,0,499000,0
Sr. Gonzalo Winter,PCS,,421892,111067,1162684,0,0,1250000,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Gael Yeomans,PCS,,919787,195703,1825091,0,0,662500,13721,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Cristian Labbé,UDI,,1978076,75232,2323882,0,0,0,0,0,264403,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. María Candelaria Acevedo,PC,,2209380,168136,734250,494186,0,0,0,43960,96145,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Eric Aedo,DC,,1827577,51362,2178407,232050,0,725000,0,0,20500,38664,0,0,0,0,0,0,0,0,0,173350,0
Sra. Yovana Ahumada,PDG,,49607,47626,798410,0,0,490000,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Jaime Araya,IND,,1165396,0,3291423,562046,0,0,0,0,149315,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Cristián Araya,PREP,,2154928,979751,1540918,117075,0,0,0,0,23562,772,0,0,0,0,0,0,0,0,0,324587,0
Sra. Mónica Arce,IND,,607936,0,8600,0,0,450000,0,0,0,0,0,0,0,0,0,0,0,0,0,256187,0
Sr. Roberto Arroyo,PDG,,57462,123121,809560,0,0,956250,123320,0,180981,7562,0,0,0,0,0,0,0,0,0,500000,0
Sra. Danisa Astudillo,PS,,0,903598,1046821,0,0,1133334,0,1559235,9602,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Chiara Barchiesi,PREP,,2452855,72980,1634903,490930,0,0,0,0,275437,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Héctor Barría,DC,,140754,32034,2009259,771876,10890,833333,32980,34990,654949,23831,0,0,0,0,0,0,0,0,0,500000,0
Sr. Miguel Ángel Becker,RN,,43843,40371,3471386,37307,8490,555555,249713,157755,106823,772,220000,0,0,0,0,0,0,0,0,500000,0
Sra. María Francisca Bello,PCS,,2446027,64068,662713,95200,0,1125000,0,0,407607,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Juan Carlos Beltrán,RN,,56089,15595,2160749,285700,0,562500,1600,763500,125270,21777,0,0,0,0,0,0,0,0,0,500000,0
Sr. Gustavo Benavente,UDI,,0,26017,2184269,1200000,0,450000,0,475561,0,18426,0,0,0,0,0,0,0,0,0,500000,0
Sr. Carlos Bianchi,IND,,1594088,208547,2129165,458611,0,1145555,0,0,0,13214,0,0,0,0,0,0,0,0,0,0,119000
Sr. Fernando Bórquez,UDI,,0,64068,2722747,738000,0,350000,0,105980,23500,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Ana María Bravo,PS,,48643,179237,1483395,1249500,0,1020612,0,349990,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Marta Bravo,UDI,,0,17792,1253746,1127357,36000,817437,40790,0,28027,12527,200000,0,0,0,0,0,0,0,0,500000,0
Sr. Félix Bugueño,FRVS,,998154,128807,2183369,850000,0,780000,0,0,112815,10749,0,0,0,0,0,0,0,0,0,500000,0
Sra. Mercedes Bulnes,IND,,936037,127286,1616484,51000,0,1280000,0,0,151407,0,0,0,0,0,0,0,0,0,0,500000,9000
Sr. Felipe Camaño,IND,,0,122030,1174962,1538470,0,0,0,2313544,156745,7162,0,0,0,0,0,0,0,0,0,500000,0
Sra. Nathalie Castillo,PC,,2372131,316134,765488,0,56115,1325000,12400,14990,113201,0,100000,0,0,0,0,0,0,0,0,370000,0
Sr. Ricardo Cifuentes,DC,,50789,32034,3451053,0,0,450000,5643,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Sara Concha,PCC,,2232294,32034,1905612,0,0,720000,125500,246816,18492,32165,0,0,0,0,0,0,0,0,0,500000,0
Sra. María Luisa Cordero,IND,,2179267,143728,1980589,163946,0,0,0,0,68745,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Eduardo Cornejo,UDI,,0,56015,1903670,1100000,0,300000,0,0,36262,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Luis Alberto Cuello,PC,,2270765,127286,381092,1211455,0,450000,134342,244970,0,0,0,0,0,0,0,0,0,0,0,427000,0
Sr. Gonzalo De la Carrera,IND,,0,130944,2564727,224315,0,0,0,1448443,176104,0,0,0,0,0,0,71990,0,0,0,500000,25070
Sr. Tomás De Rementería,IND,,23817,347629,1231432,1101940,0,0,0,0,265439,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Viviana Delgado,PEV,,487968,151099,1500988,21998,0,750000,105393,279757,282957,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Felipe Donoso,UDI,,1045730,0,3036477,400000,0,1443607,44786,-840597,76821,772,0,0,0,0,0,0,0,0,0,500000,0
Sra. Lorena Fries,IND,,57341,66975,1912573,0,0,645957,236956,1186940,128844,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Ana María Gazmuri,IND,,2144779,108818,1790686,245114,0,0,0,0,246878,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Andrés Giordano,IND,,2118839,23813,699527,459440,0,0,0,359960,0,0,0,0,0,0,0,25137,0,0,0,500000,0
Sra. Marta González,IND,,1078856,278811,1719171,0,0,1333333,0,101309,485481,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Mauro González,RN,,455000,49826,2911827,162535,195707,1363888,0,410430,209567,0,0,0,0,0,0,14718,0,0,0,0,0
Sr. Jorge Guzmán,EVOP,,755000,0,1482174,1127100,0,972068,0,0,23288,6875,0,0,0,0,0,0,0,0,0,500000,0
Sr. Juan Irarrázaval,PREP,,1137054,39187,2943920,0,0,0,0,124097,276100,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Andrés Jouannet,IND,,29080,26013,2705095,0,0,0,0,0,32952,772,0,0,0,0,0,0,0,0,0,500000,0
