Name,Partido,,TRASPASO DESDE GASTOS OPERACIONALES A ASIGNACIÓN PERSONAL DE APOYO,TELEFONÍA,TRASLACIÓN,DIFUSIÓN,ACTIVIDADES DESTINADAS A LA INTERACCIÓN CON LA COMUNIDAD,ARRIENDO DE INMUEBLE,CONSUMOS BÁSICOS,EQUIPAMIENTO OFICINA PARLAMENTARIA,MATERIALES DE OFICINA,CORRESPONDENCIA,GASTOS DE MANTENCIÓN OFICINA PARLAMENTARIA (INMUEBLE),REPARACIONES LOCATIVAS DEL INMUEBLE,HABILITACIÓN DE SEDES PARLAMENTARIAS (CON AUTORIZACIÓN DE CRAP),SEGUROS DE BIENES,ARRIENDO DE OFICINAS VIRTUALES,SERVICIOS WEB,CONTRATACIÓN SERVICIO DE ALMACENAMIENTO,ARRIENDO DE OFICINA MÓVIL,MANTENCION Y REPARACIÓN DE OFICINA MÓVIL,SERVICIOS MENORES,COVID-19 PERSONAL DE APOYO
Sra. Camila Rojas,COMUNES,,13057,63882,73889,0,0,1250585,6041,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sr. Leonidas Romero,IND,,2098764,177869,1613439,0,0,650000,14600,0,146905,45363,0,0,0,0,0,0,0,0,0,499970,0
Sr. Patricio Rosas,IND,,152417,124054,3084058,1028000,0,383703,56555,0,0,4033,0,0,0,0,0,0,0,0,0,500000,0
Sr. Juan Santana,PS,,2338147,85218,1413733,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Marisela Santibáñez,PC,,729316,158865,1630111,0,0,3400000,0,1609948,39990,0,0,0,0,0,0,0,0,0,0,0,0
Sr. Diego Schalper,RN,,1862962,208618,1967103,0,0,1125000,87824,0,14405,11839,0,0,0,0,0,0,0,0,0,500000,0
Sr. Alexis Sepúlveda Soto,PR,,1340436,376004,1282959,2179257,0,0,0,0,30940,0,0,0,0,0,0,0,0,0,0,498000,0
Sr. Raúl Soto Mardones ,PPD,,29122,141070,850080,0,0,700000,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Francisco Undurraga,EVOP,,0,87655,2377361,4733,0,510000,137276,0,64294,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Cristóbal Urruticoechea,PREP,,592157,105250,3335068,0,0,900000,100017,0,0,31371,0,0,0,0,0,0,0,0,0,499000,0
Sr. Gonzalo Winter,PCS,,109211,111066,1193644,0,0,1250000,175613,0,20921,5763,0,0,0,0,0,0,0,0,0,500000,0
Sra. Gael Yeomans,PCS,,988037,144587,1322515,0,0,1695819,0,0,0,0,0,280000,0,0,0,0,0,0,0,500000,0
Sr. Cristian Labbé,UDI,,1978076,75113,2457792,0,0,0,0,0,166959,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. María Candelaria Acevedo,PC,,2000735,0,790389,1800000,0,0,0,296870,22378,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Eric Aedo,DC,,984297,1123884,1198377,0,0,1450000,107726,1540124,41415,6549,0,0,0,0,0,0,0,0,0,500000,0
Sra. Yovana Ahumada,PDG,,0,332606,722937,6228,396344,906333,0,0,2608,0,0,0,0,0,0,19829,0,0,0,500000,0
Sr. Jaime Araya,IND,,770080,0,2843208,901200,0,0,0,0,223997,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Cristián Araya,PREP,,2154928,590861,1923515,3114,0,0,0,0,73170,92747,0,0,0,0,0,281121,0,0,0,500000,0
Sra. Mónica Arce,IND,,613760,0,1432586,0,9730,1125000,0,0,37990,0,0,0,0,0,0,0,0,0,0,35000,0
Sr. Roberto Arroyo,PDG,,10506,764688,799959,500000,0,1069583,0,0,0,762,0,0,0,0,0,0,0,0,0,500000,0
Sra. Danisa Astudillo,PS,,0,1408788,812079,0,0,1133333,0,2227902,99502,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Chiara Barchiesi,PREP,,2407537,1536738,1444176,450000,0,0,0,1489940,38080,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Héctor Barría,DC,,2057,598590,1626350,47326,0,833333,950043,1438914,108288,4583,280000,0,0,0,0,0,0,0,0,500000,0
Sr. Miguel Ángel Becker,RN,,43843,40370,2730863,730756,0,555555,70764,157755,400143,67496,160000,0,0,0,0,0,0,0,0,500000,0
Sra. María Francisca Bello,PCS,,2445299,919518,757935,0,0,0,0,0,13066,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Juan Carlos Beltrán,RN,,0,791998,1925124,309363,0,500000,0,2453872,113327,29783,0,0,0,0,0,0,0,0,0,500000,0
Sr. Gustavo Benavente,UDI,,0,789207,1926892,1100000,0,450000,4850,158591,81125,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Carlos Bianchi,IND,,1594088,133038,2394238,0,0,1145555,0,0,5601,0,0,0,0,0,0,0,0,0,0,500000,119000
Sr. Fernando Bórquez,UDI,,0,64067,1911008,250000,0,700000,0,3887600,11708,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Ana María Bravo,PS,,48643,698036,1100641,1249500,0,1003081,0,780511,77133,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Marta Bravo,UDI,,0,7117,851907,1189000,0,1680738,0,363744,0,26693,0,0,0,0,0,0,0,0,0,500000,0
Sr. Félix Bugueño,FRVS,,998154,123467,1593996,500000,0,0,0,876910,237913,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Mercedes Bulnes,IND,,837972,622229,1679258,0,0,1280000,0,2747347,300508,0,0,16890,0,0,0,0,0,0,0,500000,0
Sr. Felipe Camaño,IND,,0,525033,790543,3892480,0,0,0,0,11461,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Nathalie Castillo,PC,,1289927,256167,991196,24164,217341,975000,12400,1457909,200152,19620,100000,0,0,0,0,250000,0,0,0,460000,0
Sr. Ricardo Cifuentes,DC,,54502,32034,2318235,0,0,450000,0,2765060,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Sara Concha,PCC,,1315904,598513,983277,0,0,720000,315936,1402040,404970,0,0,17630,0,0,0,0,0,0,0,500000,32030
Sra. María Luisa Cordero,IND,,2179267,205091,2049845,33507,0,0,0,1262040,459289,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Eduardo Cornejo,UDI,,0,752786,1581161,0,244800,300000,0,0,17596,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Luis Alberto Cuello,PC,,2270765,97196,373636,1268460,0,540000,0,879920,0,0,0,0,0,0,0,0,0,0,0,488180,0
Sr. Gonzalo De la Carrera,IND,,0,60957,2506798,0,0,0,0,1593940,113965,0,0,0,0,0,0,0,0,0,0,500000,14970
Sr. Tomás De Rementería,IND,,0,23813,1469897,1028979,0,0,0,1416503,33213,0,0,0,0,0,0,928200,0,0,0,500000,0
Sra. Viviana Delgado,PEV,,487968,753578,1247887,217410,0,750000,205975,1126531,10301,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Felipe Donoso,UDI,,293418,0,2908459,0,0,666666,58089,1490494,51353,6773,0,0,0,0,0,0,0,0,0,500000,0
Sra. Lorena Fries,IND,,57341,174537,1308852,0,0,1708106,111295,1244140,108408,0,120000,0,0,0,0,0,0,0,0,500000,0
Sra. Ana María Gazmuri,IND,,2144779,30989,1036471,600000,0,0,0,697275,26761,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Andrés Giordano,IND,,2169344,23813,785687,209440,0,0,0,1664781,100450,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Marta González,IND,,0,0,2372474,988000,0,1333333,39950,316593,231066,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Mauro González,RN,,455000,43302,2746683,1866100,0,388888,48917,410430,47722,0,0,0,0,0,0,15383,0,0,0,500000,0
Sr. Jorge Guzmán,EVOP,,0,0,1682689,900000,160470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Juan Irarrázaval,PREP,,1010024,762510,1899628,315914,0,0,0,0,112313,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Andrés Jouannet,IND,,0,840115,1582859,0,0,0,0,0,146189,7477,0,0,0,0,0,0,0,0,0,500000,0
Sr. Johannes Kaiser,PREP,,863206,0,1534502,0,0,1687500,0,0,144675,0,227920,0,0,0,0,0,0,0,0,500000,0
Sra. Paula Labra,IND,,163562,784234,2715957,0,39600,493446,0,1149352,193605,0,125356,0,0,0,0,0,0,0,0,500000,0
Sr. Tomás Lagomarsino,IND,,2252747,0,765179,1670000,0,0,0,0,106172,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Henry Leal,UDI,,0,43828,1658971,1027439,73150,492419,109116,674429,9007,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Enrique Lee,PRI,,3609,1053417,1237397,143246,0,1678713,0,1962313,119128,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. Daniel Lilayu,UDI,,0,32034,2625593,390000,0,507111,0,0,0,0,0,0,0,0,0,1190000,0,0,0,500000,0
Sr. Luis Malla,LIBERAL,,15836,824219,707589,0,0,1650000,47300,1718690,72956,64891,0,0,0,0,0,0,0,0,0,500000,0
Sr. Daniel Manouchehri,PS,,1000000,943301,1216116,732915,248621,944444,0,0,96587,9793,0,0,0,0,0,0,0,0,0,483813,0
Sr. Cristóbal Martínez,UDI,,0,1016276,2164493,0,0,700000,0,1476686,75964,0,0,0,0,0,0,0,0,497770,0,500000,0
Sr. Christian Matheson,IND,,0,0,1098286,4733,0,1460000,0,2348890,198979,0,0,0,0,0,0,0,0,0,0,500000,0
Sra. Karen Medina,PDG,,0,1541313,2074839,178500,0,1350000,0,740550,753127,0,0,0,0,0,0,0,0,0,0,500000,0
Sr. José Carlos Meza,PREP,,704118,0,1678683,0,0,1200000,0,17990,28994,0,0,0,0,0,0,0,0,0,0,489203,0
